DescriptorUI	DescriptorName	TreeNumbers
D000006	Abdomen, Acute	C23.888.592.612.054.200|C23.888.821.030.249
D000007	Abdominal Injuries	C26.017
D000008	Abdominal Neoplasms	C04.588.033
D000012	Abetalipoproteinemia	C16.320.565.398.500.440.500|C18.452.584.500.875.440.500|C18.452.584.563.500.440.500|C18.452.648.398.500.440.500
D000013	Congenital Abnormalities	C16.131
D000014	Abnormalities, Drug-Induced	C16.131.042
D000015	Abnormalities, Multiple	C16.131.077
D000016	Abnormalities, Radiation-Induced	C16.131.080|C26.733.031|G01.750.748.500.031|N06.850.460.350.850.500.031|N06.850.810.300.360.031
D000022	Abortion, Spontaneous	C12.050.703.039|G08.686.784.769.496.125
D000026	Abortion, Habitual	C12.050.703.039.089
D000027	Abortion, Incomplete	C12.050.703.039.093
D000030	Abortion, Missed	C12.050.703.039.173
D000031	Abortion, Septic	C01.674.173|C12.050.703.039.256|C12.050.703.700.173
D000033	Abortion, Threatened	C12.050.703.090
D000034	Abortion, Veterinary	C12.050.703.039.422|C22.021
D000037	Abruptio Placentae	C12.050.703.420.078|C12.050.703.590.132
D000038	Abscess	C01.830.025|C23.550.470.756.100
D000039	Peritonsillar Abscess	C01.748.561.750.500|C01.830.025.675|C07.550.781.750.500|C08.730.561.750.500|C09.775.649.750.500
D000051	Acantholysis	C17.800.865.070|C23.550.035
D000052	Acanthosis Nigricans	C17.800.621.430.530.100
D000126	Achlorhydria	C06.405.748.045|C18.452.076.087
D000130	Achondroplasia	C05.116.099.343.110|C05.116.099.708.017|C16.320.240.500
D000137	Acid-Base Imbalance	C18.452.076
D000138	Acidosis	C18.452.076.176
D000140	Acidosis, Lactic	C18.452.076.176.180
D000141	Acidosis, Renal Tubular	C12.050.351.968.419.815.093|C12.200.777.419.815.093|C12.950.419.815.093|C16.320.831.093|C18.452.076.176.210
D000142	Acidosis, Respiratory	C08.618.846.093|C18.452.076.176.310
D000151	Acinetobacter Infections	C01.150.252.400.560.022
D000152	Acne Vulgaris	C17.800.030.150|C17.800.794.111
D000153	Acne Keloid	A10.165.450.300.425.125|C17.300.200.425.125|C17.800.030.030|C17.800.329.500.261
