pmid,relations
27699500,MESH:D002534!RALGPS2!0.9993!Association;MESH:D002534!ARRDC3!0.9987!Association;MESH:D002534!MME!0.999!Association;MESH:D017719!EPAS1!0.9993!Association;MESH:D000860!EPAS1!0.999!Association;MESH:D000860!RALGPS2!0.6482!Association;MESH:D002534!PPARG!0.9995!Association
31096545,MESH:D054198!IKZF1!0.961!Association;MESH:D054198!SNUPN!0.4765!Association;MESH:D054198!ETV6!0.782!Association;MESH:D054198!CREBBP!0.7842!Association
31624469,MESH:D009362!Lats1!0.9911!Association;MESH:D006528!Lats1!0.9843!Association
32802839,MESH:D000077192!MIR215!0.9994!Association;MESH:D000077192!PITX2!0.9992!Association;MESH:D000077192!MIR374B!0.9976!Association;MESH:D000077192!RALGPS2!0.9991!Association;MESH:D000077192!MIR326!0.9995!Association;MESH:D000077192!SNHG1!0.9991!Association;MESH:D000077192!MIR377!0.9983!Association;MESH:D000077192!MIR374A!0.9957!Association;MESH:D000077192!MIR340!0.9943!Association
33073959,MESH:D000077192!SIGLEC17P!0.9509!Association
33632058,MESH:D064420!C9orf72!0.99!Association;MESH:D057180!C9orf72!0.9945!Negative_Correlation;MESH:D000690!C9orf72!0.9968!Negative_Correlation;OMIM:105550!C9orf72!0.9996!Association;MESH:D057180!EIF2A!0.5182!Association
35096829,MESH:D013274!PFDN2!0.9995!Association;MESH:D013274!GEMIN5!0.9996!Association
35193007,MESH:D006943!ZYG11A!0.9997!Association;MESH:D003920!ZYG11A!0.9997!Association;MESH:C564219!ZYG11A!0.9995!Association;MESH:D006943!ZYG11A!0.9993!Association;MESH:D003920!ZYG11A!0.998!Association;MESH:C564219!ZYG11A!0.8807!Association
35240791,MESH:D015470!MTOR!0.9995!Association;MESH:D015470!SNORA65!0.9997!Association;MESH:D015470!SNORD79!0.9996!Association;MESH:D015470!NFKB1!0.9996!Association;MESH:D015470!SNORA75!0.9997!Association;MESH:D015470!SNORD12B!0.9996!Association;MESH:D015470!PIK3R1!0.9995!Association;MESH:D015470!SNORA73B!0.9996!Association;MESH:D015470!SNORA31!0.9996!Association;MESH:D015470!SNORD116-12!0.9997!Association;MESH:D015470!AKT1!0.9996!Association;MESH:D015470!SNORD72!0.9996!Association
35486108,MESH:D020821!SLC39A12!0.9992!Association;MESH:D052919!SLC39A12!0.999!Association;MESH:D012174!SLC37A3!0.9977!Association;MESH:D012174!SLC4A7!0.8805!Association;MESH:D012162!SLC39A12!0.9996!Association;MESH:D052919!SLC4A7!0.999!Association;MESH:C536122!SLC24A1!0.9996!Association;MESH:D012174!SLC24A1!0.9996!Association;MESH:D012174!SLC4A7!0.9825!Association
35853413,MESH:C564219!ZYG11A!0.9996!Association;MESH:C564219!GATA6!0.9997!Association;MESH:D006943!ZYG11A!0.9995!Association;MESH:D003920!GATA6!0.9996!Association;MESH:D003920!ZYG11A!0.9996!Association;MESH:D003920!ZYG11A!0.9979!Association;MESH:D006943!ZYG11A!0.9979!Association;MESH:C564219!GATA6!0.9942!Association;MESH:C564219!ZYG11A!0.9885!Association;MESH:D003920!GATA6!0.9983!Association
36568247,MESH:D064726!CAV1!0.9923!Association;MESH:D064726!DPP4!0.9951!Association;MESH:D064726!ZFP69B!0.9976!Association;MESH:D064726!LAMP2!0.9955!Association
36651941,MESH:D000860!MIR29B2!0.9787!Association;MESH:D002534!KCNB1!0.9993!Association;MESH:D002534!MIR29B2!0.9193!Association;MESH:D000860!KCNB1!0.9992!Negative_Correlation
37036756,MESH:D009369!GRM1!0.9994!Association;MESH:D010190!RAF1!0.9992!Association;MESH:D010190!KANK4!0.9995!Association;MESH:D009369!MAPK1!0.7376!Negative_Correlation;MESH:D009369!AKT1!0.9491!Association
37654657,MESH:D018262!RRS1!0.9705!Association;MESH:D018262!ALKBH7!0.9832!Association;MESH:D018262!RNF207!0.9948!Association;MESH:D018262!MYCBP!0.887!Association;MESH:D018262!CMTM5!0.9961!Association;MESH:D018262!TUSC2!0.9915!Association;MESH:D009369!RRS1!0.9996!Association;MESH:D018262!MZF1!0.9478!Association;MESH:D009369!MZF1!0.9995!Association;MESH:D009369!ALKBH7!0.9993!Association;MESH:D009369!RNF207!0.9994!Association;MESH:D009369!MYCBP!0.9995!Association;MESH:D009369!TUSC2!0.9995!Association
37668349,MESH:D003586!CD46!0.9973!Association;MESH:D007239!CD46!0.5383!Positive_Correlation
37774976,MESH:C535937!ARHGEF2!0.9988!Association;MESH:C536681!EBP!0.5864!Association;MESH:C536681!RAB18!0.9658!Association
37947947,MESH:D029424!MIR21!0.995!Association;MESH:D029424!MIR15A!0.9964!Association;MESH:D029424!PCGF3!0.7781!Association;MESH:D029424!MIR181A1!0.9994!Association;MESH:D029424!KIAA0319L!0.8688!Association;MESH:D029424!ZDHHC18!0.6267!Association;MESH:D029424!ANXA2P3!0.9996!Association;MESH:D029424!MIR1184-1!0.9984!Association
38262166,MESH:D011618!Sft2d2!0.9958!Association;MESH:D000068079!Sft2d2!0.8931!Positive_Correlation;MESH:D012559!SFT2D2!0.9996!Association;MESH:D012559!Sft2d2!0.9005!Association
38286121,MESH:D028361!UNC45A!0.9707!Association;MESH:D028361!CYB5B!0.9996!Association;MESH:D028361!PAIP1!0.9995!Association;MESH:D028361!PHB2!0.9995!Association;MESH:D028361!MUC1!0.9981!Association;MESH:D028361!SPRR2A!0.9995!Association;MESH:D028361!COX2!0.9995!Association;MESH:D063766!UNC45A!0.9451!Association;MESH:D028361!S100A3!0.9994!Association;MESH:D028361!GLRX!0.9995!Association;MESH:D028361!ABLIM1!0.999!Association;MESH:D063766!ABLIM1!0.9756!Association;MESH:D028361!BNIPL!0.9995!Association
38444027,MESH:D001327!CERKL!0.9608!Association;MESH:D001327!DGKB!0.9752!Association;MESH:D001327!TCF4!0.9984!Association;MESH:D001327!LRRC28!0.9658!Association;MESH:D001327!PTPRD!0.9222!Association;MESH:D001327!RGS7!0.9135!Association
38605126,MESH:D002925!HYDIN!0.9996!Association;MESH:D002925!HYDIN2!0.9994!Association
39279670,MESH:D002312!TTL!0.9991!Association;MESH:D002312!Mybpc3!0.9986!Association;MESH:D020521!TTL!0.9859!Positive_Correlation
39296904,MESH:D000079262!NCF2!0.7286!Association;MESH:D000079262!ABCA6!0.8183!Association;MESH:D009765!ABCA6!0.944!Association;MESH:D000079262!PTX3!0.9493!Positive_Correlation;MESH:D009765!C1orf162!0.9858!Association;MESH:D009765!PTX3!0.7559!Positive_Correlation;MESH:D000079262!C1orf162!0.6906!Association;MESH:D009765!NCF2!0.8257!Association;MESH:D009765!HOXB5!0.897!Association;MESH:D000079262!HOXB5!0.6236!Positive_Correlation
39394548,MESH:D012509!EBNA1BP2!0.9805!Negative_Correlation;MESH:D018268!EBNA1BP2!0.9862!Negative_Correlation;MESH:D002296!EBNA1BP2!0.9822!Negative_Correlation;MESH:D005910!EBNA1BP2!0.9794!Negative_Correlation;MESH:D009369!EBNA1BP2!0.9985!Association;MESH:D000860!EBNA1BP2!0.9975!Association;MESH:C564230!EBNA1BP2!0.9946!Negative_Correlation;MESH:D063646!EBNA1BP2!0.8615!Association
39398616,MESH:D064726!MIR155HG!0.9996!Association;MESH:D064726!LINC00877!0.9996!Association;MESH:D064726!LINC01550!0.9996!Association;MESH:D064726!LINC00494!0.9996!Association;MESH:D064726!LY86!0.9997!Association;MESH:D064726!CHRM3!0.9997!Association;MESH:D064726!HCP5!0.9996!Association;MESH:D064726!PIK3CD!0.9996!Association
39402101,MESH:C531833!PALMD!0.9992!Association
39445019,MESH:D006528!CDK1!0.9995!Association;MESH:D006528!ADA!0.9996!Association;MESH:D006528!RAN!0.9997!Association;MESH:D006528!HOMER1!0.9996!Association;MESH:D006528!DCLRE1B!0.9994!Association;MESH:D006528!IL1RN!0.9994!Association
39463061,MESH:D015470!SRSF12!0.9754!Association
39550498,MESH:D001749!LINC01138!0.999!Association;MESH:D001749!LINC00649!0.9989!Association;MESH:D009369!IGF2BP2!0.9359!Association
39596218,MESH:D015179!TMEM182!0.9974!Association;MESH:D015179!ZBTB49!0.8989!Association;MESH:D015179!MCM9!0.9974!Association;MESH:D015179!LRRFIP1!0.9809!Association
39640282,MESH:D010051!PARP2!0.9986!Association
39663392,MESH:D009369!MCL1!0.9994!Association;MESH:D012516!PIP5K1A!0.998!Association;MESH:D012516!TARS2!0.9991!Association;MESH:D012516!IGF1R!0.9954!Association;MESH:D012516!ENSA!0.9993!Association;MESH:D009369!IGF1R!0.9975!Association;MESH:D012516!MCL1!0.9988!Association
39671715,MESH:D001943!PSMD14!0.9995!Association;MESH:D001943!EIF3H!0.8053!Positive_Correlation;MESH:D001943!USP26!0.9994!Association;MESH:D001943!MINDY2!0.9993!Association;MESH:D009362!COPS5!0.9976!Association;MESH:D009362!EIF3H!0.9981!Association;MESH:D001943!MINDY1!0.984!Positive_Correlation;MESH:D001943!COPS5!0.8796!Positive_Correlation
39738287,MESH:C536068!DCLRE1B!0.9996!Association;MESH:C565079!DCLRE1B!0.9996!Association;MESH:D009369!DCLRE1B!0.9997!Association;MESH:D008545!DCLRE1B!0.9947!Association
39765722,MESH:C536875!ddx4!0.9876!Association
39853870,MESH:D008545!PKP1!0.9997!Association;MESH:D009369!PKP1!0.9997!Association
39873438,MESH:C562794!CYP4A22!0.9997!Association
39930652,MESH:D009133!TRIM63!0.9995!Association
39944136,MESH:D009369!PTPRN2!0.9994!Association;MESH:D009369!IRX1!0.9994!Association;MESH:D009369!ALX3!0.9994!Association;MESH:D009369!TRIM58!0.9994!Association;MESH:D009369!HOXD8!0.9991!Association;MESH:D009369!HOXA9!0.9994!Association;MESH:D009369!NPTX2!0.9994!Association;MESH:D009369!HRH1!0.9995!Association
40003916,MESH:D015179!TRAF5!0.9995!Association;MESH:D015179!NFKB1!0.999!Association
40024993,MESH:D007249!MMP9!0.9995!Association;MESH:D007249!IL6!0.9995!Association;MESH:D007249!CXCL8!0.9996!Association;MESH:D007249!CCL2!0.9994!Association;MESH:D007249!TNF!0.9995!Association;MESH:D007249!IL1B!0.9996!Association;MESH:D007249!IL20!0.9996!Association
40065719,MESH:D004681!ERMAP!0.9991!Negative_Correlation;MESH:D007249!ERMAP!0.9907!Association
40094701,MESH:D000080362!ABCA4!0.9992!Association
40104502,MESH:D008527!CD1C!0.9956!Association;MESH:D008527!OLFML3!0.9993!Association;MESH:D008527!OLFML2B!0.9992!Association;MESH:D008527!GZMA!0.9972!Association;MESH:D008527!CEBPB!0.9963!Association;MESH:D008527!GGTA1P!0.9965!Association;MESH:D008527!NAT1!0.9692!Association
40121528,MESH:D012174!ABCA4!0.999!Association
40137160,MESH:D011565!APOA2!0.9073!Association;MESH:D011565!APOA1!0.9968!Association
40145796,MESH:D001943!Rcc2!0.9997!Association;MESH:D001943!Mad2l1!0.9995!Association;MESH:D009369!Mad2l1!0.9978!Association
40150819,MESH:D012600!EMC1!0.9996!Association;MESH:D019066!EMC10!0.9988!Association;MESH:D008831!EMC10!0.9993!Association;MESH:D005885!EMC1!0.9995!Association;MESH:D008607!EMC10!0.9997!Association;MESH:D002658!EMC10!0.9996!Association;MESH:C565579!EMC10!0.9996!Association;MESH:D030342!EMC10!0.6414!Association;MESH:D012640!EMC10!0.9996!Association;MESH:D007674!EMC10!0.9995!Association;MESH:D012600!EMC10!0.7834!Association;MESH:D005885!EMC10!0.9791!Association
40156311,MESH:D001932!IL13RA2!0.9995!Association;MESH:D001932!ERBB2!0.9995!Association;MESH:D009369!NR1I3!0.5125!Association;MESH:D001932!EPHA2!0.9994!Association;MESH:D020258!NR1I3!0.9147!Positive_Correlation;MESH:D001932!NR1I3!0.596!Association
40158843,MESH:D007174!FAAH!0.9993!Association;MESH:D003865!FAAH!0.9926!Association;MESH:D001883!FAAH!0.9986!Association;MESH:D010554!FAAH!0.9974!Association
40167580,MESH:D001661!BRAF!0.9864!Association;MESH:D001661!PDCD1!0.9836!Association;MESH:D001661!PIK3CA!0.999!Association;MESH:D001661!TP53!0.973!Association;MESH:D001661!CD274!0.9974!Association;MESH:D001661!KRAS!0.9312!Association
40179807,MESH:D015212!COL1A1!0.9939!Association;MESH:D000083023!LAMC1!0.9972!Association;MESH:D015212!ICAM1!0.9362!Association;MESH:D009369!COL1A1!0.8995!Positive_Correlation;MESH:D009369!ICAM1!0.5597!Association;MESH:D015179!COL1A1!0.9996!Association;MESH:D000083023!ICAM1!0.9983!Association;MESH:D009369!LAMC1!0.7883!Association;MESH:D000083023!COL1A1!0.9961!Association;MESH:D015212!LAMC1!0.9274!Association
40181152,MESH:D018281!OTUD3!0.9992!Association;MESH:D018281!GSK3B!0.9958!Association;MESH:D018281!ARID3A!0.9997!Association;MESH:C564321!OTUD3!0.9979!Association;MESH:D009362!OTUD3!0.9932!Association
