pmid,relations
26401715,MESH:D050177!IL1B!0.9985!Association;MESH:D009765!RPL7P9!0.9992!Association;MESH:D003924!EEF1A1P11!0.9996!Association;MESH:D009765!IL1B!0.9975!Association;MESH:D009765!EEF1A1P11!0.9993!Association;MESH:D050177!EEF1A1P11!0.9992!Association;MESH:D050177!RPL7P9!0.9993!Association;MESH:D003924!RPL7P9!0.9996!Association;MESH:D003924!IL1B!0.9995!Association;MESH:D003924!IL1B!0.9971!Association;MESH:D009765!IL1B!0.9916!Association;MESH:D050177!IL1B!0.997!Association
30239785,MESH:D009845!CATSPERZ!0.6428!Association;MESH:D007248!CATSPER1!0.9751!Association;MESH:D009845!CATSPERE!0.9355!Association;MESH:D009845!CATSPER1!0.798!Association;MESH:D007248!CATSPERE!0.9797!Association;MESH:D007248!CATSPERE!0.3858!Association
33621312,MESH:D006973!FAM110D!0.9996!Association;MESH:D006973!CACNA1A!0.9996!Association;MESH:D006973!NLRP12!0.9995!Association;MESH:D006973!CACNA1A!0.9901!Association;MESH:D006973!NLRP12!0.9983!Association;MESH:D006973!FAM110D!0.9982!Association
37030547,MESH:D012559!TSNAX!0.9997!Association;MESH:D012559!TSNAX!0.9456!Association;MESH:D012559!TSNAX-DISC1!0.9912!Association
37273234,MESH:D058186!TLR5!0.9992!Association;MESH:D058186!DISP1!0.9996!Association
40267090,MESH:C536664!PEX10!0.9986!Association;OMIM:614871!PEX10!0.9884!Association
34234497,MESH:D013967!PHTF1!0.9996!Association;MESH:D013967!PTPN22!0.9877!Association;MESH:D013967!QRFPR!0.9983!Association;MESH:D013967!MAGI3!0.9972!Association;MESH:D003922!BCL2L15!0.9994!Association;MESH:D003922!HLA-C!0.9978!Association;MESH:D013967!BCL2L15!0.9982!Association;MESH:D003922!PHTF1!0.9996!Association;MESH:D003922!MAGI3!0.9992!Association;MESH:D003922!QRFPR!0.9997!Association;MESH:D003922!PTPN22!0.9993!Association;MESH:D013967!HLA-C!0.9979!Association;MESH:D013967!101927052!0.9989!Association;MESH:D003922!101927052!0.9962!Association
34494379,MESH:D009765!ATXN2L!0.9995!Association;MESH:D009765!MAP3K21!0.9993!Association;MESH:D063766!SULT1A2!0.5863!Association;MESH:D063766!MAP3K21!0.7473!Association;MESH:D009765!TUFM!0.9995!Association;MESH:D009765!SULT1A2!0.9991!Association;MESH:D009765!SULT1A2!0.9733!Association;MESH:D009765!MAP3K21!0.9961!Association;MESH:D018205!MAP3K21!0.7543!Association;MESH:D063766!SULT1A2!0.9655!Association;MESH:D018205!SULT1A2!0.9922!Association
37054626,MESH:C563032!SNRNP40!0.9995!Association;MESH:C563032!PTPRT!0.9995!Association;MESH:D005322!PTPRT!0.9171!Association
39792658,MESH:D016640!CERS2!0.9987!Association;MESH:D003924!CERS2!0.9972!Association;MESH:D060825!CERS2!0.9995!Association
