gene,disease,score,association,pmid
RALGPS2,MESH:D002534,0.9993,Association,27699500
RALGPS2,MESH:D000860,0.6482,Association,27699500
MIR215,MESH:D000077192,0.9994,Association,32802839
RALGPS2,MESH:D000077192,0.9991,Association,32802839
PFDN2,MESH:D013274,0.9995,Association,35096829
ZYG11A,MESH:D006943,0.9997,Association,35193007
ZYG11A,MESH:D003920,0.9997,Association,35193007
ZYG11A,MESH:C564219,0.9995,Association,35193007
ZYG11A,MESH:D006943,0.9993,Association,35193007
ZYG11A,MESH:D003920,0.998,Association,35193007
ZYG11A,MESH:C564219,0.8807,Association,35193007
MTOR,MESH:D015470,0.9995,Association,35240791
SNORA73B,MESH:D015470,0.9996,Association,35240791
ZYG11A,MESH:C564219,0.9996,Association,35853413
ZYG11A,MESH:D006943,0.9995,Association,35853413
ZYG11A,MESH:D003920,0.9996,Association,35853413
ZYG11A,MESH:D003920,0.9979,Association,35853413
ZYG11A,MESH:D006943,0.9979,Association,35853413
ZYG11A,MESH:C564219,0.9885,Association,35853413
ZFP69B,MESH:D064726,0.9976,Association,36568247
MIR29B2,MESH:D000860,0.9787,Association,36651941
MIR29B2,MESH:D002534,0.9193,Association,36651941
KANK4,MESH:D010190,0.9995,Association,37036756
RNF207,MESH:D018262,0.9948,Association,37654657
MYCBP,MESH:D018262,0.887,Association,37654657
RNF207,MESH:D009369,0.9994,Association,37654657
MYCBP,MESH:D009369,0.9995,Association,37654657
CD46,MESH:D003586,0.9973,Association,37668349
CD46,MESH:D007239,0.5383,Positive_Correlation,37668349
ARHGEF2,MESH:C535937,0.9988,Association,37774976
MIR181A1,MESH:D029424,0.9994,Association,37947947
KIAA0319L,MESH:D029424,0.8688,Association,37947947
ZDHHC18,MESH:D029424,0.6267,Association,37947947
Sft2d2,MESH:D011618,0.9958,Association,38262166
Sft2d2,MESH:D000068079,0.8931,Positive_Correlation,38262166
SFT2D2,MESH:D012559,0.9996,Association,38262166
Sft2d2,MESH:D012559,0.9005,Association,38262166
MUC1,MESH:D028361,0.9981,Association,38286121
SPRR2A,MESH:D028361,0.9995,Association,38286121
S100A3,MESH:D028361,0.9994,Association,38286121
BNIPL,MESH:D028361,0.9995,Association,38286121
RGS7,MESH:D001327,0.9135,Association,38444027
HYDIN2,MESH:D002925,0.9994,Association,38605126
NCF2,MESH:D000079262,0.7286,Association,39296904
NCF2,MESH:D009765,0.8257,Association,39296904
EBNA1BP2,MESH:D012509,0.9805,Negative_Correlation,39394548
EBNA1BP2,MESH:D018268,0.9862,Negative_Correlation,39394548
EBNA1BP2,MESH:D002296,0.9822,Negative_Correlation,39394548
EBNA1BP2,MESH:D005910,0.9794,Negative_Correlation,39394548
EBNA1BP2,MESH:D009369,0.9985,Association,39394548
EBNA1BP2,MESH:D000860,0.9975,Association,39394548
EBNA1BP2,MESH:C564230,0.9946,Negative_Correlation,39394548
EBNA1BP2,MESH:D063646,0.8615,Association,39394548
CHRM3,MESH:D064726,0.9997,Association,39398616
PIK3CD,MESH:D064726,0.9996,Association,39398616
