gene,disease,score,association,pmid
RALGPS2,MESH:D002534,0.999,Association,27699500
RALGPS2,MESH:D000860,0.648,Association,27699500
MIR215,MESH:D000077192,0.999,Association,32802839
RALGPS2,MESH:D000077192,0.999,Association,32802839
PFDN2,MESH:D013274,1.0,Association,35096829
ZYG11A,MESH:D006943,0.999,Association,"35193007,35853413"
ZYG11A,MESH:D003920,0.999,Association,"35193007,35853413"
ZYG11A,MESH:C564219,0.967,Association,"35193007,35853413"
MTOR,MESH:D015470,1.0,Association,35240791
SNORA73B,MESH:D015470,1.0,Association,35240791
ZFP69B,MESH:D064726,0.998,Association,36568247
MIR29B2,MESH:D000860,0.979,Association,36651941
MIR29B2,MESH:D002534,0.919,Association,36651941
KANK4,MESH:D010190,1.0,Association,37036756
RNF207,MESH:D018262,0.995,Association,37654657
MYCBP,MESH:D018262,0.887,Association,37654657
RNF207,MESH:D009369,0.999,Association,37654657
MYCBP,MESH:D009369,1.0,Association,37654657
CD46,MESH:D003586,0.997,Association,37668349
CD46,MESH:D007239,0.538,Positive_Correlation,37668349
ARHGEF2,MESH:C535937,0.999,Association,37774976 
MIR181A1,MESH:D029424,0.999,Association,37947947
KIAA0319L,MESH:D029424,0.869,Association,37947947
ZDHHC18,MESH:D029424,0.627,Association,37947947
Sft2d2,MESH:D011618,0.996,Association,38262166
Sft2d2,MESH:D000068079,0.893,Positive_Correlation,38262166
SFT2D2,MESH:D012559,0.998,Association,"36619926,38262166,39733937"
Sft2d2,MESH:D012559,0.9,Association,38262166
MUC1,MESH:D028361,0.998,Association,38286121
SPRR2A,MESH:D028361,1.0,Association,38286121
S100A3,MESH:D028361,0.999,Association,38286121
BNIPL,MESH:D028361,1.0,Association,38286121
RGS7,MESH:D001327,0.913,Association,38444027
HYDIN2,MESH:D002925,0.996,Association,"36873931,38605126,39805680"
NCF2,MESH:D000079262,0.729,Association,39296904
NCF2,MESH:D009765,0.826,Association,39296904
EBNA1BP2,MESH:D012509,0.981,Negative_Correlation,39394548
EBNA1BP2,MESH:D018268,0.986,Negative_Correlation,39394548
EBNA1BP2,MESH:D002296,0.982,Negative_Correlation,39394548
EBNA1BP2,MESH:D005910,0.979,Negative_Correlation,39394548
EBNA1BP2,MESH:D009369,0.999,Association,39394548
EBNA1BP2,MESH:D000860,0.998,Association,39394548
EBNA1BP2,MESH:C564230,0.995,Negative_Correlation,39394548
EBNA1BP2,MESH:D063646,0.862,Association,39394548
CHRM3,MESH:D064726,1.0,Association,39398616
PIK3CD,MESH:D064726,1.0,Association,39398616
PALMD,MESH:C531833,0.999,Association,39402101
DCLRE1B,MESH:D006528,0.999,Association,"39445019,39864538"
LINC01138,MESH:D001749,0.999,Association,39550498
MCL1,MESH:D009369,0.999,Association,39663392
PIP5K1A,MESH:D012516,0.998,Association,39663392
TARS2,MESH:D012516,0.999,Association,39663392
ENSA,MESH:D012516,0.999,Association,39663392
MCL1,MESH:D012516,0.999,Association,39663392
MINDY1,MESH:D001943,0.984,Positive_Correlation,39671715
DCLRE1B,MESH:C536068,1.0,Association,39738287
DCLRE1B,MESH:C565079,1.0,Association,39738287
DCLRE1B,MESH:D009369,1.0,Association,39738287
DCLRE1B,MESH:D008545,0.995,Association,39738287
PKP1,MESH:D008545,1.0,Association,39853870
PKP1,MESH:D009369,1.0,Association,39853870
CYP4A22,MESH:C562794,0.999,Association,"39569444,39714216,39873438"
TRIM63,MESH:D009133,1.0,Association,39930652
ALX3,MESH:D009369,0.999,Association,39944136
TRIM58,MESH:D009369,0.999,Association,39944136
TRAF5,MESH:D015179,1.0,Association,40003916
IL20,MESH:D007249,0.999,Association,"40024993,40068518,40133606"
ERMAP,MESH:D004681,0.999,Negative_Correlation,40065719
ERMAP,MESH:D007249,0.991,Association,40065719
ABCA4,MESH:D000080362,0.999,Association,"40094701,40127654"
CD1C,MESH:D008527,0.996,Association,40104502
OLFML3,MESH:D008527,0.999,Association,40104502
OLFML2B,MESH:D008527,0.999,Association,40104502
ABCA4,MESH:D012174,0.999,Association,40121528
APOA2,MESH:D011565,0.907,Association,40137160
Rcc2,MESH:D001943,1.0,Association,40145796
EMC1,MESH:D012600,1.0,Association,40150819
EMC1,MESH:D005885,1.0,Association,40150819
NR1I3,MESH:D009369,0.599,Association,"40156311,40181964"
EPHA2,MESH:D001932,0.999,Association,40156311
NR1I3,MESH:D020258,0.915,Positive_Correlation,40156311
NR1I3,MESH:D001932,0.596,Association,40156311
FAAH,MESH:D007174,0.999,Association,40158843
FAAH,MESH:D003865,0.993,Association,40158843
FAAH,MESH:D001883,0.999,Association,40158843
FAAH,MESH:D010554,0.997,Association,40158843
LAMC1,MESH:D000083023,0.997,Association,40179807
LAMC1,MESH:D009369,0.788,Association,40179807
LAMC1,MESH:D015212,0.927,Association,40179807
OTUD3,MESH:D018281,0.999,Association,40181152
OTUD3,MESH:C564321,0.998,Association,40181152
OTUD3,MESH:D009362,0.993,Association,40181152
NR1I3,MESH:D006528,0.83,Negative_Correlation,40181964
NR1I3,MESH:D002289,0.928,Association,40181964
NR1I3,MESH:D008175,0.586,Association,40181964
EPHA2,MESH:D008527,0.953,Association,40190167
CYP4Z2P,MESH:D001943,1.0,Association,"31655919,31672276"
CYP4Z2P,MESH:D007021,0.999,Association,32728162
CYP4X1,MESH:D007021,0.981,Association,32728162
CYP4A11,MESH:D007021,0.854,Association,32728162
CYP4A22,MESH:D007021,0.994,Association,32728162
CYP4B1,MESH:D007021,0.998,Association,32728162
EPHX1,MESH:D007021,0.972,Association,32728162
CD46,MESH:D020529,0.994,Association,32800273
ZNF697,MESH:D020529,0.999,Association,32800273
CD58,MESH:D020529,0.998,Association,32800273
MIR6738,MESH:D013274,0.998,Association,"33811245,34341481"
HMCN1,MESH:D000072717,0.634,Association,34307159
RNF207,MESH:D000072717,0.999,Association,34307159
DDX11L2,MESH:D000072717,0.999,Association,34307159
FAM89A,MESH:D005334,0.999,Association,34589675
IFI44L,MESH:D014777,0.999,Association,34589675
IFI44L,MESH:D005334,1.0,Association,34589675
FAM89A,MESH:D014777,0.999,Association,"34589675,36451823"
HSD11B1,MESH:C562393,0.999,Association,"34992686,36160015"
HSD11B1,MESH:D008545,0.983,Negative_Correlation,34992686
NIPAL3,MESH:D007627,0.974,Association,35432479
LINC01132,MESH:D009369,0.93,Positive_Correlation,36071454
LINC01132,MESH:D006528,0.941,Association,36071454
LINC01132,MESH:D009362,0.991,Positive_Correlation,36071454
Lsm10,MESH:D009468,0.909,Association,36130491
Lsm10,MESH:D009133,0.992,Association,36130491
TENT5B,MESH:D009362,1.0,Association,36701842
ZFP69B,MESH:D009369,0.999,Positive_Correlation,38003570
HSPB7,MESH:D002294,0.972,Association,38084139
SCARNA4,MESH:D001943,0.792,Association,38311725
SNORA73B,MESH:D001943,0.768,Positive_Correlation,38311725
SCARNA4,MESH:D009369,0.993,Association,38311725
SNORA73B,MESH:D009369,0.99,Association,38311725
PINK1,MESH:D005910,0.976,Association,38370373
FAM72A,MESH:D005910,1.0,Association,38370373
DPH2,MESH:D006528,0.763,Positive_Correlation,39262488
SPRR2E,MESH:D015535,0.999,Association,39342985
CAMK2N1,MESH:D011565,0.998,Association,39344312
CAMK2N1,MESH:D024821,0.901,Association,39344312
OBSCN,MESH:D011565,0.999,Association,39344312
TARS2,MESH:D004827,0.999,Association,39394138
TARS2,MESH:D001927,0.997,Association,39394138
TARS2,MESH:D011596,0.971,Association,39394138
TARS2,OMIM:615918,1.0,Association,"38482264,39394138"
TARS2,MESH:D008599,0.999,Association,39394138
TARS2,MESH:D017237,1.0,Association,"38482264,39394138"
TARS2,MESH:D000013,0.999,Association,39394138
MIR197,MESH:D008881,0.999,Association,39408819
SVBP,MESH:D016472,1.0,Association,39412222
SVBP,MESH:D015419,1.0,Association,39412222
SVBP,MESH:D008607,1.0,Association,39412222
SVBP,MESH:D001072,0.999,Association,39412222
SVBP,MESH:D010523,0.999,Association,39412222
MINDY1,MESH:D001943,1.0,Association,39443136
EMC1,MESH:D018908,0.999,Association,39456191
EMC1,MESH:D015835,0.997,Association,39456191
EMC1,MESH:D028361,0.999,Association,39456191
Emc1,MESH:D003327,1.0,Association,39456238
Tnfaip8l2,MESH:D009369,0.996,Association,39532931
Tnfaip8l2,MESH:D008545,0.992,Negative_Correlation,39532931
CSMD2,MESH:D004387,1.0,Association,39570219
ADGRL2,MESH:D006331,0.648,Negative_Correlation,39594576
NOS1AP,MESH:D009369,0.869,Association,39613731
UCHL5,MESH:D009369,1.0,Association,39702250
UCHL5,MESH:D002583,0.516,Positive_Correlation,39702250
UCHL5,MESH:C563236,0.686,Positive_Correlation,39702250
CCDC18,MESH:D003865,1.0,Association,39798887
CCDC18,MESH:D001072,0.926,Association,39798887
Ago4,MESH:D025063,0.961,Association,39803480
Ago3,MESH:D025063,0.911,Association,39803480
FCER1A,MESH:D007249,0.988,Association,39847517
DNM3,MESH:D009369,0.994,Negative_Correlation,39847517
DNM3,MESH:D010190,0.995,Association,39847517
AGO4,MESH:D014652,0.997,Association,39857904
AGO4,MESH:D003327,0.986,Association,39857904
AGO4,MESH:D009080,1.0,Association,39857904
DCLRE1B,MESH:D009369,0.799,Positive_Correlation,39864538
DPH2,MESH:D009369,0.999,Association,39928200
DPH2,OMIM:616901,1.0,Association,"39928200,40130534"
DPH2,MESH:D011471,0.841,Association,39928200
DPH2,MESH:D000230,0.999,Association,39928200
FCER1G,MESH:D003324,0.999,Association,39953122
FCGR2A,MESH:D003324,0.999,Association,39953122
UBIAD1,MESH:D009765,1.0,Association,40016272
UBIAD1,MESH:D018205,0.999,Association,40016272
LRP8,MESH:D001943,0.999,Association,40022442
ZNF697,MESH:D000077192,0.957,Association,40029500
MIR200B,MESH:D002289,0.997,Association,40034591
Nek7,MESH:D009062,0.998,Association,40054700
RNF207,MESH:D002311,0.999,Association,"37723491,40080479"
